,ds,y
528,2020-04-11 00:00:00,47
529,2020-04-11 01:00:00,27
530,2020-04-11 02:00:00,16
531,2020-04-11 03:00:00,13
532,2020-04-11 04:00:00,12
533,2020-04-11 05:00:00,25
534,2020-04-11 06:00:00,38
535,2020-04-11 07:00:00,41
536,2020-04-11 08:00:00,66
537,2020-04-11 09:00:00,81
538,2020-04-11 10:00:00,104
539,2020-04-11 11:00:00,117
540,2020-04-11 12:00:00,107
541,2020-04-11 13:00:00,101
542,2020-04-11 14:00:00,118
543,2020-04-11 15:00:00,127
544,2020-04-11 16:00:00,129
545,2020-04-11 17:00:00,105
546,2020-04-11 18:00:00,86
547,2020-04-11 19:00:00,58
548,2020-04-11 20:00:00,51
549,2020-04-11 21:00:00,38
550,2020-04-11 22:00:00,38
551,2020-04-11 23:00:00,53
552,2020-04-12 00:00:00,30
553,2020-04-12 01:00:00,21
554,2020-04-12 02:00:00,12
555,2020-04-12 03:00:00,11
556,2020-04-12 04:00:00,7
557,2020-04-12 05:00:00,20
558,2020-04-12 06:00:00,27
559,2020-04-12 07:00:00,27
560,2020-04-12 08:00:00,45
561,2020-04-12 09:00:00,40
562,2020-04-12 10:00:00,39
563,2020-04-12 11:00:00,66
564,2020-04-12 12:00:00,68
565,2020-04-12 13:00:00,78
566,2020-04-12 14:00:00,68
567,2020-04-12 15:00:00,83
568,2020-04-12 16:00:00,58
569,2020-04-12 17:00:00,66
570,2020-04-12 18:00:00,39
571,2020-04-12 19:00:00,56
572,2020-04-12 20:00:00,43
573,2020-04-12 21:00:00,47
574,2020-04-12 22:00:00,42
575,2020-04-12 23:00:00,34
576,2020-04-13 00:00:00,31
577,2020-04-13 01:00:00,16
578,2020-04-13 02:00:00,11
579,2020-04-13 03:00:00,21
580,2020-04-13 04:00:00,33
581,2020-04-13 05:00:00,43
582,2020-04-13 06:00:00,61
583,2020-04-13 07:00:00,72
584,2020-04-13 08:00:00,86
585,2020-04-13 09:00:00,101
586,2020-04-13 10:00:00,124
587,2020-04-13 11:00:00,140
588,2020-04-13 12:00:00,123
589,2020-04-13 13:00:00,123
590,2020-04-13 14:00:00,151
591,2020-04-13 15:00:00,147
592,2020-04-13 16:00:00,147
593,2020-04-13 17:00:00,138
594,2020-04-13 18:00:00,88
595,2020-04-13 19:00:00,73
596,2020-04-13 20:00:00,81
597,2020-04-13 21:00:00,63
598,2020-04-13 22:00:00,51
599,2020-04-13 23:00:00,42
600,2020-04-14 00:00:00,22
601,2020-04-14 01:00:00,14
602,2020-04-14 02:00:00,16
603,2020-04-14 03:00:00,20
604,2020-04-14 04:00:00,21
605,2020-04-14 05:00:00,38
606,2020-04-14 06:00:00,46
607,2020-04-14 07:00:00,74
608,2020-04-14 08:00:00,85
609,2020-04-14 09:00:00,107
610,2020-04-14 10:00:00,155
611,2020-04-14 11:00:00,132
612,2020-04-14 12:00:00,133
613,2020-04-14 13:00:00,137
614,2020-04-14 14:00:00,140
615,2020-04-14 15:00:00,134
616,2020-04-14 16:00:00,132
617,2020-04-14 17:00:00,103
618,2020-04-14 18:00:00,89
619,2020-04-14 19:00:00,83
620,2020-04-14 20:00:00,55
621,2020-04-14 21:00:00,48
622,2020-04-14 22:00:00,33
623,2020-04-14 23:00:00,40
624,2020-04-15 00:00:00,24
625,2020-04-15 01:00:00,16
626,2020-04-15 02:00:00,8
627,2020-04-15 03:00:00,10
628,2020-04-15 04:00:00,20
629,2020-04-15 05:00:00,22
630,2020-04-15 06:00:00,52
631,2020-04-15 07:00:00,63
632,2020-04-15 08:00:00,81
633,2020-04-15 09:00:00,103
634,2020-04-15 10:00:00,118
635,2020-04-15 11:00:00,139
636,2020-04-15 12:00:00,119
637,2020-04-15 13:00:00,131
638,2020-04-15 14:00:00,162
639,2020-04-15 15:00:00,136
640,2020-04-15 16:00:00,133
641,2020-04-15 17:00:00,119
642,2020-04-15 18:00:00,85
643,2020-04-15 19:00:00,64
644,2020-04-15 20:00:00,61
645,2020-04-15 21:00:00,45
646,2020-04-15 22:00:00,46
647,2020-04-15 23:00:00,36
648,2020-04-16 00:00:00,25
649,2020-04-16 01:00:00,11
650,2020-04-16 02:00:00,6
651,2020-04-16 03:00:00,14
652,2020-04-16 04:00:00,28
653,2020-04-16 05:00:00,33
654,2020-04-16 06:00:00,58
655,2020-04-16 07:00:00,85
656,2020-04-16 08:00:00,103
657,2020-04-16 09:00:00,118
658,2020-04-16 10:00:00,123
659,2020-04-16 11:00:00,146
660,2020-04-16 12:00:00,156
661,2020-04-16 13:00:00,168
662,2020-04-16 14:00:00,168
663,2020-04-16 15:00:00,171
664,2020-04-16 16:00:00,156
665,2020-04-16 17:00:00,122
666,2020-04-16 18:00:00,111
667,2020-04-16 19:00:00,59
668,2020-04-16 20:00:00,50
669,2020-04-16 21:00:00,44
670,2020-04-16 22:00:00,38
671,2020-04-16 23:00:00,41
672,2020-04-17 00:00:00,17
673,2020-04-17 01:00:00,16
674,2020-04-17 02:00:00,8
