,ds,yhat
272,2020-03-31 08:00:00,100.13082713554343
273,2020-03-31 09:00:00,119.81169973878434
274,2020-03-31 10:00:00,133.95932236925591
275,2020-03-31 11:00:00,141.3073123748293
276,2020-03-31 12:00:00,144.8986476063798
277,2020-03-31 13:00:00,149.27362694934433
278,2020-03-31 14:00:00,155.6446419990786
279,2020-03-31 15:00:00,159.73124470128568
280,2020-03-31 16:00:00,154.84401458536516
281,2020-03-31 17:00:00,137.8849286219014
282,2020-03-31 18:00:00,112.88398805406584
283,2020-03-31 19:00:00,88.62727137996121
284,2020-03-31 20:00:00,72.2173677936994
285,2020-03-31 21:00:00,64.12259412364945
286,2020-03-31 22:00:00,58.91317239948114
287,2020-03-31 23:00:00,50.740866796244646
288,2020-04-01 00:00:00,38.5236864869326
289,2020-04-01 01:00:00,26.46909536855783
290,2020-04-01 02:00:00,20.115904999039216
291,2020-04-01 03:00:00,22.014240851912646
292,2020-04-01 04:00:00,30.868344971397377
293,2020-04-01 05:00:00,44.11412774701814
294,2020-04-01 06:00:00,60.57392562195412
295,2020-04-01 07:00:00,80.2987449475558
296,2020-04-01 08:00:00,102.1986752438026
297,2020-04-01 09:00:00,122.70488667984961
298,2020-04-01 10:00:00,137.62575466782107
299,2020-04-01 11:00:00,145.6822803626838
300,2020-04-01 12:00:00,149.90629282214957
301,2020-04-01 13:00:00,154.82854753576396
302,2020-04-01 14:00:00,161.65361142589168
303,2020-04-01 15:00:00,166.09501779045547
304,2020-04-01 16:00:00,161.45919379085169
305,2020-04-01 17:00:00,144.64586287970496
306,2020-04-01 18:00:00,119.68467623791986
307,2020-04-01 19:00:00,95.36324249706463
308,2020-04-01 20:00:00,78.78751053405989
309,2020-04-01 21:00:00,70.43090921407389
310,2020-04-01 22:00:00,64.87042241082014
311,2020-04-01 23:00:00,56.26609958165916
312,2020-04-02 00:00:00,43.54561028443319
313,2020-04-02 01:00:00,30.927285742159725
314,2020-04-02 02:00:00,23.96182620318985
315,2020-04-02 03:00:00,25.21206727637503
316,2020-04-02 04:00:00,33.39556898489554
317,2020-04-02 05:00:00,45.961947612847936
318,2020-04-02 06:00:00,61.747405920716815
319,2020-04-02 07:00:00,80.81674730896057
320,2020-04-02 08:00:00,102.09355999478191
321,2020-04-02 09:00:00,122.02198925282865
322,2020-04-02 10:00:00,136.42264376614378
323,2020-04-02 11:00:00,144.02780785824066
324,2020-04-02 12:00:00,147.8794489880582
325,2020-04-02 13:00:00,152.51713665052773
326,2020-04-02 14:00:00,159.15276671366541
327,2020-04-02 15:00:00,163.50557633290924
328,2020-04-02 16:00:00,158.88595424828145
329,2020-04-02 17:00:00,142.19575061379797
330,2020-04-02 18:00:00,117.4648418859693
331,2020-04-02 19:00:00,93.47912112436063
332,2020-04-02 20:00:00,77.34086924668082
333,2020-04-02 21:00:00,69.5179114819715
334,2020-04-02 22:00:00,64.57973731656865
335,2020-04-02 23:00:00,56.677083860552635
336,2020-04-03 00:00:00,44.72659023723425
337,2020-04-03 01:00:00,32.93396498721783
338,2020-04-03 02:00:00,26.83584375675163
339,2020-04-03 03:00:00,28.979728645589454
340,2020-04-03 04:00:00,38.066770832079364
341,2020-04-03 05:00:00,51.529314149326055
342,2020-04-03 06:00:00,68.1856525248289
343,2020-04-03 07:00:00,88.08228398657798
344,2020-04-03 08:00:00,110.12434422947209
345,2020-04-03 09:00:00,130.73763458298328
346,2020-04-03 10:00:00,145.72478710477424
347,2020-04-03 11:00:00,153.80073532785383
348,2020-04-03 12:00:00,157.99097596997385
349,2020-04-03 13:00:00,162.8197356985358
350,2020-04-03 14:00:00,169.4849323537013
351,2020-04-03 15:00:00,173.69341321705792
352,2020-04-03 16:00:00,168.74497195211316
353,2020-04-03 17:00:00,151.5328455146548
354,2020-04-03 18:00:00,126.08044391240776
355,2020-04-03 19:00:00,101.16948081838467
356,2020-04-03 20:00:00,83.89547606469482
357,2020-04-03 21:00:00,74.73194461635664
358,2020-04-03 22:00:00,68.25162472035558
359,2020-04-03 23:00:00,58.61106830188601
360,2020-04-04 00:00:00,44.73528846018072
361,2020-04-04 01:00:00,30.84088819211678
362,2020-04-04 02:00:00,22.47784776388876
363,2020-04-04 03:00:00,22.20936259382423
364,2020-04-04 04:00:00,28.754494204563642
365,2020-04-04 05:00:00,39.565553206382624
366,2020-04-04 06:00:00,53.48266887956254
367,2020-04-04 07:00:00,70.57583009112113
368,2020-04-04 08:00:00,89.77508286013263
369,2020-04-04 09:00:00,107.5323020609085
370,2020-04-04 10:00:00,119.67708289439571
371,2020-04-04 11:00:00,124.95192378427228
372,2020-04-04 12:00:00,126.41018934177748
373,2020-04-04 13:00:00,128.60397098512934
374,2020-04-04 14:00:00,132.7587381997792
375,2020-04-04 15:00:00,134.60826670015337
376,2020-04-04 16:00:00,127.478348812988
377,2020-04-04 17:00:00,108.28699103464037
378,2020-04-04 18:00:00,81.08085525071634
379,2020-04-04 19:00:00,54.66311510630534
380,2020-04-04 20:00:00,36.153684315519605
381,2020-04-04 21:00:00,26.03822253060997
382,2020-04-04 22:00:00,18.90409859513158
383,2020-04-04 23:00:00,8.919812662890664
384,2020-04-05 00:00:00,0.0
385,2020-04-05 01:00:00,0.0
386,2020-04-05 02:00:00,0.0
387,2020-04-05 03:00:00,0.0
388,2020-04-05 04:00:00,0.0
389,2020-04-05 05:00:00,0.0
390,2020-04-05 06:00:00,10.449742108810383
391,2020-04-05 07:00:00,29.750922785539814
392,2020-04-05 08:00:00,51.43984310377902
393,2020-04-05 09:00:00,71.95027004072004
394,2020-04-05 10:00:00,87.09110414322507
395,2020-04-05 11:00:00,95.58176669853756
396,2020-04-05 12:00:00,100.45039376391753
397,2020-04-05 13:00:00,106.22195200860202
398,2020-04-05 14:00:00,114.09316646987925
399,2020-04-05 15:00:00,119.76774333413636
400,2020-04-05 16:00:00,116.54038969793964
401,2020-04-05 17:00:00,101.29733171485707
402,2020-04-05 18:00:00,78.05308396287388
403,2020-04-05 19:00:00,55.578637730704216
404,2020-04-05 20:00:00,40.96202122781422
405,2020-04-05 21:00:00,34.65763353068322
406,2020-04-05 22:00:00,31.22252832828741
407,2020-04-05 23:00:00,24.796145298499354
408,2020-04-06 00:00:00,14.28509487347658
409,2020-04-06 01:00:00,3.8864367703887126
410,2020-04-06 02:00:00,0.0
411,2020-04-06 03:00:00,2.5565320029641896
412,2020-04-06 04:00:00,12.864245650564428
413,2020-04-06 05:00:00,27.48266809652251
414,2020-04-06 06:00:00,45.22925738661394
415,2020-04-06 07:00:00,66.15126172087142
416,2020-04-06 08:00:00,89.15610742227545
417,2020-04-06 09:00:00,110.6733593560693
418,2020-04-06 10:00:00,126.51079752547835
419,2020-04-06 11:00:00,135.38977964818002
420,2020-04-06 12:00:00,140.3433765546068
421,2020-04-06 13:00:00,145.90439628269107
422,2020-04-06 14:00:00,153.28018824186628
423,2020-04-06 15:00:00,158.18771222359547
424,2020-04-06 16:00:00,153.93737621901266
425,2020-04-06 17:00:00,137.43334680129644
426,2020-04-06 18:00:00,112.71008752808169
427,2020-04-06 19:00:00,88.56029597599529
428,2020-04-06 20:00:00,72.09519554432023
429,2020-04-06 21:00:00,63.793587154231105
430,2020-04-06 22:00:00,58.23784036466231
431,2020-04-06 23:00:00,49.59332532893346
432,2020-04-07 00:00:00,36.79289496831353
433,2020-04-07 01:00:00,24.059861380670377
434,2020-04-07 02:00:00,16.949646021125254
435,2020-04-07 03:00:00,18.02949747772209
436,2020-04-07 04:00:00,26.021041095557884
437,2020-04-07 05:00:00,38.37758088632146
438,2020-04-07 06:00:00,53.938609510649556
439,2020-04-07 07:00:00,72.77181197866787
440,2020-04-07 08:00:00,93.80324903818357
441,2020-04-07 09:00:00,113.47913806520735
442,2020-04-07 10:00:00,127.62177711929036
443,2020-04-07 11:00:00,134.96478354800706
444,2020-04-07 12:00:00,138.55113520321908
445,2020-04-07 13:00:00,142.92113096984878
446,2020-04-07 14:00:00,149.28716244318196
447,2020-04-07 15:00:00,153.36878156889964
448,2020-04-07 16:00:00,148.4765678764778
449,2020-04-07 17:00:00,131.5124983364644
450,2020-04-07 18:00:00,106.50657419217374
451,2020-04-07 19:00:00,82.24487394171287
452,2020-04-07 20:00:00,65.82998677664703
453,2020-04-07 21:00:00,57.73022952777694
454,2020-04-07 22:00:00,52.51582422470983
455,2020-04-07 23:00:00,44.338535042176076
456,2020-04-08 00:00:00,32.116371154183994
457,2020-04-08 01:00:00,20.056796456816258
458,2020-04-08 02:00:00,13.698622508250494
459,2020-04-08 03:00:00,15.591975218100792
460,2020-04-08 04:00:00,24.441096194454246
461,2020-04-08 05:00:00,37.68189582648937
462,2020-04-08 06:00:00,54.13671055749154
463,2020-04-08 07:00:00,73.8565467406182
464,2020-04-08 08:00:00,95.75149389386769
465,2020-04-08 09:00:00,116.25272218659347
466,2020-04-08 10:00:00,131.16860703128458
467,2020-04-08 11:00:00,139.22014958297206
468,2020-04-08 12:00:00,143.4391788991773
469,2020-04-08 13:00:00,148.35645046934673
470,2020-04-08 14:00:00,155.17653121664466
471,2020-04-08 15:00:00,159.61295443790237
472,2020-04-08 16:00:00,154.97214729493157
473,2020-04-08 17:00:00,138.1538332404291
474,2020-04-08 18:00:00,113.18766345536875
475,2020-04-08 19:00:00,88.86124657133752
476,2020-04-08 20:00:00,72.28053146518269
477,2020-04-08 21:00:00,63.91894700210865
478,2020-04-08 22:00:00,58.35347705563959
479,2020-04-08 23:00:00,49.74417108318313
480,2020-04-09 00:00:00,37.01869864263014
481,2020-04-09 01:00:00,24.39539095706113
482,2020-04-09 02:00:00,17.42494827525379
483,2020-04-09 03:00:00,18.67020620509743
484,2020-04-09 04:00:00,26.848724770150888
485,2020-04-09 05:00:00,39.41012026654463
486,2020-04-09 06:00:00,55.19059544272598
487,2020-04-09 07:00:00,74.25495369921744
488,2020-04-09 08:00:00,95.52678325323939
489,2020-04-09 09:00:00,115.45022937995726
490,2020-04-09 10:00:00,129.84590076158534
491,2020-04-09 11:00:00,137.4460818554022
492,2020-04-09 12:00:00,141.29273998859816
493,2020-04-09 13:00:00,145.92544465389733
494,2020-04-09 14:00:00,152.55609171973327
495,2020-04-09 15:00:00,156.90391834173016
496,2020-04-09 16:00:00,152.27931325982212
497,2020-04-09 17:00:00,135.58412662823216
498,2020-04-09 18:00:00,110.84823490273403
499,2020-04-09 19:00:00,86.85753114394225
500,2020-04-09 20:00:00,70.71429626913395
501,2020-04-09 21:00:00,62.886355507274224
502,2020-04-09 22:00:00,57.94319834532238
503,2020-04-09 23:00:00,50.03556189102554
504,2020-04-10 00:00:00,38.08008527068743
505,2020-04-10 01:00:00,26.282477023306917
506,2020-04-10 02:00:00,20.179372795595683
507,2020-04-10 03:00:00,22.31827468725495
508,2020-04-10 04:00:00,31.400333876595717
509,2020-04-10 05:00:00,44.85789419626677
